city_name,latitude,temperature,humidity,cloudiness,wind_speed
Mataura,-46.19,282.59,71,95,5.36
Vila Franca do Campo,37.72,288.15,77,75,4.1
Hobart,-42.88,281.4,93,75,2.6
Kapaa,22.08,297.91,61,40,5.1
Ancud,-41.87,286.15,66,90,1.0
Cayenne,4.93,301.15,69,20,4.6
Sinnamary,5.38,300.26,74,63,5.78
Atuona,-9.8,300.96,71,4,2.7
Saskylakh,71.92,259.34,92,99,10.17
Ribeira Grande,38.52,290.15,72,20,6.7
San Felipe,10.34,302.22,51,16,3.82
College,64.86,279.71,33,75,0.81
Port Alfred,-33.59,289.26,83,0,1.79
Uvalde,29.37,300.86,28,1,10.3
Russell,32.35,297.97,65,20,5.1
Garden City,42.33,288.11,51,90,6.7
Naze,28.37,290.15,59,1,14.4
Bathsheba,13.22,301.15,65,20,6.7
Praia da Vitória,38.73,289.15,77,75,4.9
Dunedin,-45.87,283.71,61,100,11.18
Vytegra,61.01,274.5,84,100,6.85
New Norfolk,-42.78,281.24,93,75,2.6
Nishihara,26.18,290.33,39,75,7.2
Butaritari,3.07,301.49,81,98,7.16
Guerrero Negro,27.98,291.44,59,83,6.32
Busselton,-33.65,289.96,69,72,4.15
George Town,5.41,299.4,94,20,0.5
Punta Arenas,-53.15,283.92,66,40,13.9
Illertissen,48.22,284.05,50,86,1.5
Peace River,56.25,272.15,42,75,2.6
Gizo Government Station,-8.1,301.44,76,83,1.98
Hermanus,-34.42,284.9,91,10,2.42
East London,-33.02,292.32,64,0,7.55
Nemyriv,48.97,280.93,55,87,5.01
Rikitea,-23.12,298.78,84,67,6.91
Provideniya,64.38,273.15,96,90,4.0
Pechora,65.15,265.69,95,98,2.21
Bluff,-46.6,282.59,71,94,5.36
Iqaluit,63.75,266.15,85,75,11.8
Port Elizabeth,-33.92,289.15,72,0,9.3
Katsuura,35.13,283.15,93,75,8.7
Annonay,45.24,286.29,47,100,1.5
Vaini,-21.2,299.15,74,20,3.1
Bredasdorp,-34.53,285.27,71,4,34.0
Maragogi,-9.01,300.01,74,30,3.65
Morozovsk,48.35,276.47,72,30,4.52
Dikson,73.51,263.06,96,100,7.8
Serra,-20.13,296.82,64,75,4.1
Nikol'sk,53.72,270.97,93,99,6.87
Ushuaia,-54.8,278.15,86,75,10.3
Albany,42.6,288.37,25,75,7.7
Poum,-20.23,299.37,73,93,3.13
Tiksi,71.69,264.96,94,100,4.16
Zyryanka,65.75,269.18,97,99,2.95
Kahului,20.89,295.84,69,75,5.1
Hithadhoo,-0.6,302.51,68,12,3.18
Cape Town,-33.93,286.14,82,0,2.1
Shenjiamen,29.96,285.31,61,5,10.34
Anloga,5.79,302.15,83,20,4.6
Avarua,-21.21,300.15,94,97,1.5
Abu Dhabi,24.47,302.74,40,98,4.1
Koíla,40.33,282.15,66,83,1.0
Outram,1.28,300.16,88,75,3.38
Susanville,40.42,287.15,22,1,3.6
Port Macquarie,-31.43,285.23,81,0,1.5
Kati,12.74,305.15,35,20,1.5
Hilo,19.73,296.53,65,40,4.6
Hong Kong,22.29,289.49,39,62,6.2
Mossamedes,-15.2,297.68,73,0,0.36
Atar,20.52,301.46,17,2,4.32
Ostrovnoy,68.05,270.96,90,100,9.87
Tautira,-17.73,303.15,70,41,4.1
Jadu,31.95,288.05,46,1,1.84
Tuktoyaktuk,69.45,266.15,79,20,2.6
Chunhuhub,19.55,310.76,24,9,4.49
Annapolis,38.98,293.17,59,1,7.2
Lüderitz,-26.65,289.15,100,9,4.1
Zhigansk,66.77,268.79,98,100,6.04
Bethel,41.37,287.11,58,75,5.1
Port-Gentil,-0.72,300.08,70,55,1.37
Srednekolymsk,67.45,263.63,95,98,5.32
Banda Aceh,5.56,299.73,79,73,3.48
Palmer,42.16,286.64,30,75,7.7
Taber,49.82,271.4,49,75,7.2
Imeni Poliny Osipenko,52.42,274.16,84,24,0.98
Hamilton,39.18,288.79,59,90,2.6
Barrow,71.29,268.15,92,90,1.5
Cidreira,-30.18,293.05,76,69,6.0
Severo-Kuril'sk,50.68,272.24,94,88,3.81
Puerto Ayora,-0.74,299.94,88,75,2.6
Majene,-3.54,298.58,84,84,1.94
Nelson Bay,-32.72,283.81,93,59,2.33
Sittwe,20.15,297.17,87,0,3.03
Beringovskiy,63.05,263.82,95,100,4.21
Nikolskoye,59.7,278.09,81,90,6.0
Araouane,18.9,306.52,20,93,2.87
Saint-Pierre,-21.34,293.46,83,100,2.6
Torbay,47.67,278.93,52,75,4.1
Mar del Plata,-38.0,290.58,77,90,4.6
Kaitangata,-46.28,280.28,84,100,9.25
Belyy Yar,53.6,269.15,79,0,2.0
Ulverstone,-41.15,282.39,76,76,3.75
Qaanaaq,77.48,264.71,78,86,0.81
Lithgow,-33.48,282.68,100,94,0.21
Juradó,7.11,300.22,81,97,1.96
Olafsvik,64.89,279.0,92,100,9.75
Sechura,-5.56,299.36,63,1,6.98
Arraial do Cabo,-22.97,295.15,83,75,2.6
Yellowknife,62.46,265.51,44,5,3.1
Saurimo,-9.66,293.02,69,98,1.39
Aksarka,66.56,267.17,97,100,3.28
Ilulissat,69.22,276.15,74,100,5.7
Lebu,-37.62,286.39,56,0,7.28
Kamaishi,39.27,280.52,80,83,7.12
Menongue,-14.66,290.95,60,95,1.18
Michigan City,41.71,288.45,87,90,4.6
Rockland,41.17,289.44,58,1,4.6
Wolbrom,50.38,284.9,66,0,0.5
Souillac,-20.52,298.94,74,40,5.1
Aklavik,68.22,274.15,40,20,2.6
Shimoda,34.67,281.16,71,90,8.2
Elizabeth City,36.29,296.01,44,40,7.7
Paraty,-23.22,295.31,67,81,2.07
Lompoc,34.64,288.3,72,90,4.1
Ghanzi,-21.57,297.14,29,69,1.81
Grindavik,63.84,278.63,100,90,8.2
Acaraú,-2.89,299.78,85,100,3.09
San Miguel de Tucumán,-26.82,301.15,39,40,7.7
Kloulklubed,7.04,298.15,94,75,2.6
Faanui,-16.48,301.54,70,81,4.78
Westport,41.14,286.94,66,75,3.1
Hofn,64.25,274.54,87,87,6.56
Geraldton,-28.77,294.65,83,90,2.6
Bloemfontein,-29.12,286.15,76,60,1.0
Corpus Christi,27.8,306.67,13,20,11.8
Anlu,31.17,283.5,50,0,1.09
Stephenville,32.22,298.92,22,40,10.3
Gómez Plata,6.68,296.37,60,75,3.1
Jamestown,42.1,290.03,36,90,5.7
Mogadishu,2.04,301.47,74,29,6.59
Rawson,-43.3,291.37,29,0,5.64
Khatanga,71.97,255.62,93,36,4.32
Skjervøy,70.03,272.75,95,100,6.25
Upernavik,72.79,271.6,97,100,0.72
Nouakchott,18.09,298.15,61,46,6.2
Canutama,-6.53,300.74,87,97,1.25
Saint-Philippe,-21.36,293.1,83,87,2.6
Banff,51.18,269.82,55,100,3.13
Taoudenni,22.68,305.77,11,1,5.31
Makakilo City,21.35,298.85,69,40,4.1
Belance,16.18,291.14,80,48,1.44
Kaputa,-8.47,293.36,67,73,0.17
Meulaboh,4.14,299.3,83,95,2.62
Port Hawkesbury,45.62,280.62,36,1,2.6
Fukuechō,32.69,285.38,69,91,15.58
Arrondissement d'Arcachon,44.59,287.12,93,74,3.6
Firozpur,30.92,298.15,61,95,1.23
Miloslavskoye,53.58,274.44,76,7,0.58
Inhambane,-23.86,297.93,80,0,5.66
Vila Velha,-20.33,296.8,64,75,4.1
Pangnirtung,66.15,269.15,68,90,6.7
Isangel,-19.55,298.15,94,20,1.42
Caravelas,-17.71,298.75,84,22,7.74
Fortaleza,-3.72,302.1,74,20,4.1
Akçakoca,41.09,280.08,65,0,0.83
Weston,26.1,302.08,66,75,6.7
Roald,62.58,272.71,86,100,7.7
Iquitos,-3.75,279.15,100,75,2.6
Radeberg,51.12,287.53,41,66,1.5
Plettenberg Bay,-34.05,288.65,74,37,2.95
Kudahuvadhoo,2.67,301.79,67,6,1.09
Vila Praia de Âncora,41.81,286.43,87,90,2.1
Jizan,17.33,302.15,70,40,3.1
Petropavlovsk-Kamchatskiy,53.05,271.15,74,3,2.0
Saint Paul Harbor,57.79,279.15,81,90,2.1
Wairoa,-39.03,291.75,72,19,3.01
Burnie,-41.07,283.66,8,85,4.48
Novopokrovka,49.84,278.29,58,0,2.35
Ambilobe,-13.2,296.97,82,48,2.31
Cabo San Lucas,22.89,295.82,56,5,2.1
Amapá,1.0,297.23,92,98,2.63
Mookane,-23.69,297.29,22,54,0.9
Cupira,-8.62,296.61,69,74,3.95
San Jerónimo,-11.95,288.73,23,74,1.78
Bonthe,7.53,301.62,78,96,3.46
Boa Vista,2.82,306.15,38,40,6.2
Walvis Bay,-22.96,291.59,68,0,1.5
Mingora,34.78,292.61,41,100,2.68
Kuzino,57.02,276.04,84,95,2.7
Leningradskiy,69.38,265.26,87,94,1.37
Bubaque,11.28,299.25,75,16,6.99
La Ronge,55.1,264.15,52,75,8.2
Eureka,40.8,287.83,76,20,5.1
Xining,36.62,277.35,25,18,1.39
Pustoshka,56.34,279.96,57,100,4.74
Itacoatiara,-3.14,300.16,93,100,1.09
Christchurch,-43.53,287.58,71,5,7.2
Beba,22.44,306.15,55,20,8.7
Codrington,-38.27,283.8,81,93,3.27
Arlit,18.74,305.0,11,0,2.77
Marawi,8.0,292.06,69,0,1.34
Kiryat Gat,31.61,285.43,87,20,1.5
Sémbé,1.65,295.13,81,80,0.6
Taguatinga,-12.39,297.43,79,77,0.73
Yar-Sale,66.83,267.41,98,100,3.22
Teya,60.38,270.28,93,8,1.01
Tarko-Sale,64.92,274.33,97,100,3.64
Malatya Province,38.5,283.15,25,0,3.1
Port Lincoln,-34.73,287.61,72,11,4.07
Saldanha,-33.01,287.15,82,0,1.5
Pieve di Soligo,45.9,287.01,76,5,1.5
São Filipe,14.9,296.37,79,40,4.89
Stornoway,58.21,277.92,60,85,8.7
Natal,-5.79,300.15,78,64,3.1
Lipari,38.47,287.03,82,5,3.6
Maceió,-9.67,299.15,83,17,3.1
Margate,51.38,285.78,81,88,2.6
Glendive,47.11,271.07,68,75,4.1
Lagoa,39.05,289.66,81,0,4.06
Kavieng,-2.57,301.88,72,100,1.06
Khovd,48.01,277.58,35,70,1.49
Mahébourg,-20.41,298.98,74,40,5.1
Stokmarknes,68.56,273.71,79,100,3.13
Yumen,40.28,281.74,20,40,2.61
Paoua,7.24,300.15,43,99,3.05
Mount Gambier,-37.83,280.15,93,42,2.1
Bentiu,9.23,301.74,27,50,0.95
Aykhal,66.0,274.15,69,90,3.0
Grand-Santi,4.25,300.59,75,60,1.81
General Pico,-35.66,286.58,86,100,4.14
Prudentópolis,-25.21,292.07,54,9,0.8
Solnechnyy,50.72,274.35,74,0,0.46
Khani,41.96,276.15,93,21,2.1
Cap-aux-Meules,47.38,279.15,48,40,5.1
Bandarbeyla,9.49,300.14,76,26,5.0
Lovozero,68.0,270.33,93,100,11.32
Coahuayana Viejo,18.73,304.15,43,40,5.1
Asha,55.0,276.26,87,99,2.92
Ulaangom,49.98,271.62,70,94,0.16
Barinas,8.62,308.79,26,42,2.91
Anchorage,61.22,275.32,59,90,1.5
Kruisfontein,-34.0,287.2,74,0,4.76
La Oroya,-11.52,284.94,22,94,1.14
São Paulo de Olivença,-3.38,297.35,94,100,0.94
Castro,-24.79,290.33,56,13,0.83
Alofi,-19.06,302.15,66,81,7.2
Fereydūnkenār,36.69,283.15,93,75,1.0
Robertsport,6.75,300.82,82,100,3.86
Viesca,25.35,301.74,2,20,6.2
Chokurdakh,70.63,250.93,91,30,3.47
Ixtapa,20.7,299.7,42,40,5.7
Syracuse,37.09,283.84,87,0,2.1
Selma,36.57,294.96,53,56,1.5
Salisbury,51.07,285.09,54,100,1.5
Hualmay,-11.1,298.69,65,55,4.24
Riosucio,5.42,292.15,88,75,2.6
Panzhihua,26.59,287.37,53,52,0.75
Charyshskoye,51.4,278.47,54,100,1.78
Mattru,7.62,300.23,81,96,1.8
Remontnoye,46.56,276.04,51,36,8.0
Airai,-8.93,289.69,74,43,0.75
Rāwah,34.48,291.32,31,21,2.35
Wattegama,6.8,297.24,91,6,1.29
Bafra,41.57,278.15,86,40,1.5
Dingle,11.0,297.7,78,0,1.0
Omboué,-1.57,298.54,74,91,0.58
Vao,-22.67,298.23,72,81,1.64
Gondanglegi,-7.75,296.06,80,43,1.01
Laguna,38.42,293.77,60,1,2.39
Bogandé,12.97,304.6,14,7,3.3
Pevek,69.7,259.71,90,54,5.35
Thinadhoo,0.53,302.36,63,71,1.89
Ponta do Sol,32.67,287.65,82,75,6.7
Kosh-Agach,50.0,271.52,45,51,0.61
Al Bardīyah,31.76,288.64,74,0,1.91
Bambous Virieux,-20.34,298.94,74,40,5.1
Talara,-4.58,299.72,62,34,8.32
Verkhnyaya Inta,65.98,266.03,94,100,1.65
Muros,42.78,285.35,93,75,3.1
Oddur,4.12,298.89,59,88,6.71
Sola,-13.88,301.15,88,75,6.79
Talnakh,69.49,265.15,72,100,3.0
Port Hardy,50.7,285.15,34,40,2.1
Kolochava,48.43,284.26,47,0,1.42
Udachny,66.42,274.15,69,90,3.0
Kommunisticheskiy,61.68,274.71,90,100,2.0
Road Town,18.42,301.3,66,75,5.7
Narsaq,60.92,276.15,88,100,0.5
Fairbanks,64.84,279.79,33,20,0.85
Grand Gaube,-20.01,298.87,74,40,5.1
Sangar,63.92,265.53,94,32,3.94
Thompson,55.74,263.15,51,90,5.1
Carnarvon,-24.87,297.15,100,2,7.2
Sur,22.57,301.2,46,28,5.64
Sabha,27.04,298.47,16,0,6.31
Sitka,57.05,281.84,57,75,2.6
Sofiyivka,48.05,277.15,35,0,1.91
Sawākin,19.11,297.06,58,100,4.45
Santa Isabel,-23.32,292.96,72,20,3.6
Djibo,14.1,305.92,14,30,3.51
Havre-St-Pierre,50.23,275.15,64,1,6.7
Haines Junction,60.75,275.18,60,100,2.98
Salalah,17.02,301.15,69,20,4.1
Kidal,18.44,305.55,10,67,3.13
Clarence Town,-32.58,283.58,93,62,1.07
Padang,-0.95,298.16,77,100,2.01
San Jose,37.34,289.29,59,75,0.48
Tasiilaq,65.61,272.15,86,100,14.4
Kawalu,-7.38,295.7,82,72,0.33
Hasaki,35.73,282.5,93,75,8.7
Fano,43.82,287.92,66,40,1.0
Mae Sai,20.43,296.33,83,4,3.6
Chui,-33.7,291.92,75,69,4.51
Channel-Port aux Basques,47.57,272.85,95,0,6.4
Vestmannaeyjar,63.44,279.36,85,100,9.61
Diré,12.28,307.0,24,98,0.62
Medina,24.47,298.15,26,10,2.6
Klaksvík,62.23,273.15,84,97,4.1
Tapiramutá,-11.85,294.79,76,100,0.81
